,LicenseNumber,Phone,BusinessName,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,FullAddr,Lat,Long,geometry,Unnamed: 0,Name,City
0,22463050.0,(513) 862-3550,BETHESDA NORTH APOTHECARY,10500 MONTGOMERY RD,CINCINNATI,OH,45242,Hamilton,"10500 MONTGOMERY RD, CINCINNATI, OH",39.143702399999995,-84.47020909999999,POINT (-84.47020909999999 39.1437024),,,
1,20253100.0,(513) 263-8760,CANN MEDICAL CENTER,5818 Madison Rd,Cincinnati,OH,45227-1708,Hamilton,"5818 Madison Rd, Cincinnati, OH",39.161120700000005,-84.39347590000001,POINT (-84.39347590000001 39.16112070000001),,,
2,20345000.0,5133523094,CINCINNATI HEALTH DEPARTMENT,1525 ELM STREET ELM STREET HEALTH CENTER,CINCINNATI,OH,45202,Hamilton,"1525 ELM STREET ELM STREET HEALTH CENTER, CINCINNATI, OH",39.112119,-84.5196466389599,POINT (-84.5196466389599 39.112119),,,
3,22571200.0,(401) 765-1500,CVS PHARMACY #16779,4825A MARBURG AVE.,CINCINNATI,OH,45209,Hamilton,"4825A MARBURG AVE., CINCINNATI, OH",39.163264107382496,-84.4247287449664,POINT (-84.4247287449664 39.1632641073825),,,
4,22571300.0,(401) 765-1500,CVS PHARMACY #16873,9040 COLERAIN AVE.,CINCINNATI,OH,45251,Hamilton,"9040 COLERAIN AVE., CINCINNATI, OH",39.166880600000006,-84.55355390000001,POINT (-84.55355390000001 39.16688060000001),,,
5,22572450.0,(401) 765-1500,CVS PHARMACY #17534,6150 GLENWAY AVE.,CINCINNATI,OH,45211,Hamilton,"6150 GLENWAY AVE., CINCINNATI, OH",39.144227863191105,-84.6223112000467,POINT (-84.6223112000467 39.14422786319111),,,
6,22013700.0,(401) 765-1500,CVS/PHARMACY # 6087,7700 HAMILTON AVENUE,MOUNT HEALTHY,OH,45231,Hamilton,"7700 HAMILTON AVENUE, MOUNT HEALTHY, OH",39.233649,-84.547988,POINT (-84.547988 39.233649),,,
7,22013100.0,(401) 765-1500,CVS/PHARMACY # 6097,9525 KENWOOD ROAD SUITE 1,CINCINNATI,OH,45242,Hamilton,"9525 KENWOOD ROAD SUITE 1, CINCINNATI, OH",39.162074,-84.385604,POINT (-84.385604 39.162074),,,
8,22013150.0,(401) 765-1500,CVS/PHARMACY # 6100,5811 COLERAIN AVENUE,CINCINNATI,OH,45239,Hamilton,"5811 COLERAIN AVENUE, CINCINNATI, OH",39.166880600000006,-84.55355390000001,POINT (-84.55355390000001 39.16688060000001),,,
9,22013200.0,(401) 765-1500,CVS/PHARMACY # 6101,8560 WINTON ROAD,CINCINNATI,OH,45231,Hamilton,"8560 WINTON ROAD, CINCINNATI, OH",39.17960720000001,-84.5197474,POINT (-84.5197474 39.17960720000001),,,
10,22013250.0,(401) 765-1500,CVS/PHARMACY # 6103,7001 MIAMI AVENUE,CINCINNATI,OH,45243,Hamilton,"7001 MIAMI AVENUE, CINCINNATI, OH",39.131903,-84.40147929999999,POINT (-84.40147929999999 39.131903),,,
11,22013400.0,(401) 765-1500,CVS/PHARMACY # 6107,8215 COLERAIN AVENUE,CINCINNATI,OH,45239,Hamilton,"8215 COLERAIN AVENUE, CINCINNATI, OH",39.166880600000006,-84.55355390000001,POINT (-84.55355390000001 39.16688060000001),,,
12,22012650.0,(401) 765-1500,CVS/PHARMACY # 6126,371 LUDLOW AVENUE,CINCINNATI,OH,45220,Hamilton,"371 LUDLOW AVENUE, CINCINNATI, OH",39.1438156,-84.52233620000001,POINT (-84.52233620000001 39.1438156),,,
13,22012700.0,(401) 765-1500,CVS/PHARMACY # 6129,4110 HARRISON AVENUE,CHEVIOT,OH,45211,Hamilton,"4110 HARRISON AVENUE, CHEVIOT, OH",39.15843035,-84.6189054,POINT (-84.6189054 39.15843035),,,
14,22014600.0,(401) 765-1500,CVS/PHARMACY #2715,17 WILLIAM H. TAFT ROAD,CINCINNATI,OH,45219,Hamilton,"17 WILLIAM H. TAFT ROAD, CINCINNATI, OH",39.127980870168706,-84.5106664473813,POINT (-84.5106664473813 39.12798087016871),,,
15,22014700.0,(401) 765-1500,CVS/PHARMACY #2764,7314 MONTGOMERY ROAD,CINCINNATI,OH,45236,Hamilton,"7314 MONTGOMERY ROAD, CINCINNATI, OH",39.143702399999995,-84.47020909999999,POINT (-84.47020909999999 39.1437024),,,
16,20930450.0,(401) 765-1500,CVS/PHARMACY #3246,4840 GLENWAY AVENUE,CINCINNATI,OH,45238,Hamilton,"4840 GLENWAY AVENUE, CINCINNATI, OH",39.12839,-84.605896,POINT (-84.605896 39.12839),,,
17,21302150.0,(401) 765-1500,CVS/PHARMACY #5426,9197 READING ROAD,CINCINNATI,OH,45215,Hamilton,"9197 READING ROAD, CINCINNATI, OH",39.201848,-84.4559877,POINT (-84.45598769999999 39.201848),,,
18,22018300.0,(401) 765-1500,CVS/PHARMACY #6081,934 EAST MCMILLAN STREET,CINCINNATI,OH,45206,Hamilton,"934 EAST MCMILLAN STREET, CINCINNATI, OH",39.1259282115384,-84.488738018363,POINT (-84.48873801836299 39.1259282115384),,,
19,22018250.0,(401) 765-1500,CVS/PHARMACY #6093,8372 VINE STREET,CINCINNATI,OH,45216,Hamilton,"8372 VINE STREET, CINCINNATI, OH",39.2115574,-84.47423719999999,POINT (-84.47423719999999 39.2115574),,,
20,22013050.0,(401) 765-1500,CVS/PHARMACY #6095,3086 MADISON ROAD,CINCINNATI,OH,45209,Hamilton,"3086 MADISON ROAD, CINCINNATI, OH",39.1322946,-84.4610464,POINT (-84.4610464 39.1322946),,,
21,22018200.0,(401) 765-1500,CVS/PHARMACY #6110,3195 LINWOOD AVENUE,CINCINNATI,OH,45208,Hamilton,"3195 LINWOOD AVENUE, CINCINNATI, OH",39.1288464,-84.4305803,POINT (-84.4305803 39.1288464),,,
22,22012550.0,(401) 765-1500,CVS/PHARMACY #6111,5229 MONTGOMERY ROAD,NORWOOD,OH,45212,Hamilton,"5229 MONTGOMERY ROAD, NORWOOD, OH",39.169660863603504,-84.4505385796851,POINT (-84.4505385796851 39.1696608636035),,,
23,22012600.0,(401) 765-1500,CVS/PHARMACY #6123,7500 BEECHMONT AVENUE,CINCINNATI,OH,45255,Hamilton,"7500 BEECHMONT AVENUE, CINCINNATI, OH",39.118472499999996,-84.4140067,POINT (-84.4140067 39.1184725),,,
24,22012750.0,(401) 765-1500,CVS/PHARMACY #6131,36 EAST SEVENTH STREET,CINCINNATI,OH,45202,Hamilton,"36 EAST SEVENTH STREET, CINCINNATI, OH",39.102357399999995,-84.5147817,POINT (-84.5147817 39.1023574),,,
25,21056500.0,(401) 765-1500,CVS/PHARMACY #7699,11611 HAMILTON AVENUE,CINCINNATI,OH,45231,Hamilton,"11611 HAMILTON AVENUE, CINCINNATI, OH",39.16393529999999,-84.5402503,POINT (-84.5402503 39.16393529999999),,,
26,22463000.0,(513) 862-3550,GOOD SAMARITAN HOSP OUTPATIENT PHARMACY,375 DIXMYTH AVE,CINCINNATI,OH,45220,Hamilton,"375 DIXMYTH AVE, CINCINNATI, OH",39.13998455,-84.5217017490402,POINT (-84.5217017490402 39.13998455),,,
27,20791450.0,5134711605,"HART PHARMACY, INC.",4861 GLENWAY AVENUE,CINCINNATI,OH,45238,Hamilton,"4861 GLENWAY AVENUE, CINCINNATI, OH",39.12839,-84.605896,POINT (-84.605896 39.12839),,,
28,21442150.0,(513) 762-1090,KROGER PHARMACY #014370,3491 NORTH BEND ROAD,CINCINNATI,OH,45239,Hamilton,"3491 NORTH BEND ROAD, CINCINNATI, OH",39.203649,-84.56188,POINT (-84.56188 39.203649),,,
29,21042700.0,(513) 762-1090,KROGER PHARMACY #014384,8421 WINTON ROAD,CINCINNATI,OH,45231,Hamilton,"8421 WINTON ROAD, CINCINNATI, OH",39.17960720000001,-84.5197474,POINT (-84.5197474 39.17960720000001),,,
30,21042650.0,(513) 232-4474,KROGER PHARMACY #014438,2120 BEECHMONT AVENUE,CINCINNATI,OH,45230,Hamilton,"2120 BEECHMONT AVENUE, CINCINNATI, OH",39.0926715365854,-84.3870925853658,POINT (-84.38709258536581 39.0926715365854),,,
31,21042400.0,(513) 762-1090,KROGER PHARMACY #014444,5910 Harrison Ave,Cincinnati,OH,45248-1606,Hamilton,"5910 Harrison Ave, Cincinnati, OH",39.1486533,-84.5983446,POINT (-84.5983446 39.1486533),,,
32,21041950.0,(513) 762-1090,KROGER PHARMACY #014915,7580 BEECHMONT AVENUE,CINCINNATI,OH,45255,Hamilton,"7580 BEECHMONT AVENUE, CINCINNATI, OH",39.118472499999996,-84.4140067,POINT (-84.4140067 39.1184725),,,
33,21043000.0,(513) 762-1090,KROGER PHARMACY #014948,6165 GLENWAY AVENUE,CINCINNATI,OH,45211,Hamilton,"6165 GLENWAY AVENUE, CINCINNATI, OH",39.1454787783495,-84.6245155656985,POINT (-84.6245155656985 39.1454787783495),,,
34,21042750.0,(513) 762-1090,KROGER PHARMACY #355,3760 PAXTON AVENUE,CINCINNATI,OH,45209,Hamilton,"3760 PAXTON AVENUE, CINCINNATI, OH",39.145408291329204,-84.4310504811109,POINT (-84.4310504811109 39.1454082913292),,,
35,21042250.0,(513) 762-1090,KROGER PHARMACY #400,6401 COLERAIN AVENUE,CINCINNATI,OH,45239,Hamilton,"6401 COLERAIN AVENUE, CINCINNATI, OH",39.166880600000006,-84.55355390000001,POINT (-84.55355390000001 39.16688060000001),,,
36,21042200.0,(513) 762-1090,KROGER PHARMACY #402,6950 MIAMI AVENUE,MADEIRA,OH,45243,Hamilton,"6950 MIAMI AVENUE, MADEIRA, OH",39.188224244898,-84.36319936734691,POINT (-84.36319936734691 39.188224244898),,,
37,21041850.0,(513) 762-1090,KROGER PHARMACY #421,7385 WOOSTER ROAD,MARIEMONT,OH,45227,Hamilton,"7385 WOOSTER ROAD, MARIEMONT, OH",39.1426683,-84.362213,POINT (-84.362213 39.1426683),,,
38,21041750.0,(513) 762-1090,KROGER PHARMACY #428,4777 KENARD AVENUE,CINCINNATI,OH,45232,Hamilton,"4777 KENARD AVENUE, CINCINNATI, OH",39.16442395,-84.51478713031909,POINT (-84.51478713031909 39.16442395),,,
39,21041550.0,(513) 762-1090,KROGER PHARMACY #432,2310 FERGUSON ROAD,CINCINNATI,OH,45238,Hamilton,"2310 FERGUSON ROAD, CINCINNATI, OH",39.1284139444035,-84.60076519147691,POINT (-84.60076519147691 39.1284139444035),,,
40,22525750.0,(513) 762-1090,KROGER PHARMACY #465,4613 MARBURG AVE,CINCINNATI,OH,45209,Hamilton,"4613 MARBURG AVE, CINCINNATI, OH",39.160457828282794,-84.424930979798,POINT (-84.42493097979801 39.16045782828279),,,
41,21041600.0,(513) 762-1090,KROGER PHARMACY #929,1 WEST CORRY STREET,CINCINNATI,OH,45219,Hamilton,"1 WEST CORRY STREET, CINCINNATI, OH",39.1285273,-84.5091863466387,POINT (-84.5091863466387 39.1285273),,,
42,21044500.0,(513) 762-1090,KROGER PHARMACY #944,5080 DELHI PIKE,CINCINNATI,OH,45238,Hamilton,"5080 DELHI PIKE, CINCINNATI, OH",39.09419935,-84.61506114004729,POINT (-84.61506114004729 39.09419935),,,
43,21042800.0,(513) 762-1090,KROGER PHARMACY 014351,9939 MONTGOMERY ROAD,CINCINNATI,OH,45242,Hamilton,"9939 MONTGOMERY ROAD, CINCINNATI, OH",39.143702399999995,-84.47020909999999,POINT (-84.47020909999999 39.1437024),,,
44,22033250.0,(513) 762-1090,KROGER PHARMACY 014353,11390 MONTGOMERY ROAD,CINCINNATI,OH,45249,Hamilton,"11390 MONTGOMERY ROAD, CINCINNATI, OH",39.143702399999995,-84.47020909999999,POINT (-84.47020909999999 39.1437024),,,
45,21315850.0,(513) 762-1090,KROGER PHARMACY 014390,7132 HAMILTON AVENUE,CINCINNATI,OH,45231,Hamilton,"7132 HAMILTON AVENUE, CINCINNATI, OH",39.16393529999999,-84.5402503,POINT (-84.5402503 39.16393529999999),,,
46,21967050.0,(513) 762-1090,KROGER PHARMACY 014418,4500 MONTGOMERY ROAD,NORWOOD,OH,45212,Hamilton,"4500 MONTGOMERY ROAD, NORWOOD, OH",39.159591999999996,-84.456676,POINT (-84.456676 39.159592),,,
47,21203450.0,(513) 762-1090,KROGER PHARMACY 014433,10595 SPRINGFIELD PIKE,CINCINNATI,OH,45215,Hamilton,"10595 SPRINGFIELD PIKE, CINCINNATI, OH",39.2276499,-84.4726459,POINT (-84.4726459 39.2276499),,,
48,21042550.0,(513) 762-1090,KROGER PHARMACY 014482,3609 WARSAW AVENUE,CINCINNATI,OH,45205,Hamilton,"3609 WARSAW AVENUE, CINCINNATI, OH",39.1104088366585,-84.5710405810845,POINT (-84.5710405810845 39.1104088366585),,,
49,21042100.0,(513) 762-1090,KROGER SAV-ON #405,8241 VINE STREET,CINCINNATI,OH,45216,Hamilton,"8241 VINE STREET, CINCINNATI, OH",39.2115574,-84.47423719999999,POINT (-84.47423719999999 39.2115574),,,
50,21376700.0,(513) 598-2010,MEIJER PHARMACY #223,6550 HARRISON ROAD,CINCINNATI,OH,452477823,Hamilton,"6550 HARRISON ROAD, CINCINNATI, OH",39.133308,-84.5659837,POINT (-84.5659837 39.133308),,,
51,21376650.0,(513) 458-2410,MEIJER PHARMACY #224,3195 Geier Drive,Cincinnati,OH,45209-5012,Hamilton,"3195 Geier Drive, Cincinnati, OH",39.1615956,-84.4277952933401,POINT (-84.4277952933401 39.1615956),,,
52,22316350.0,513-215-0830,MERCY HEALTH - WEST HOSPITAL,3300 MERCY HEALTH BLVD.,CINCINNATI,OH,45211,Hamilton,"3300 MERCY HEALTH BLVD., CINCINNATI, OH",39.18094685,-84.59730306013721,POINT (-84.59730306013721 39.18094685),,,
53,20041150.0,(513) 215-0830,MERCY HEALTH - WESTERN HILLS MEDICAL CENTER,3131 QUEEN CITY AVENUE,CINCINNATI,OH,45238,Hamilton,"3131 QUEEN CITY AVENUE, CINCINNATI, OH",39.135131,-84.6064214193183,POINT (-84.60642141931829 39.135131),,,
54,20384850.0,(513) 624-4677,MERCY HOSPITAL ANDERSON PHARMACY,7500 STATE ROAD,CINCINNATI,OH,45255,Hamilton,"7500 STATE ROAD, CINCINNATI, OH",39.08603155,-84.3491964667535,POINT (-84.3491964667535 39.08603155),,,
55,20249800.0,(513) 316-6817,MILLVALE @ HOPPLE HEALTH CENTER CINCINNATI HEALTH DEPARTMENT,2750 BEEKMAN STREET,CINCINNATI,OH,45225,Hamilton,"2750 BEEKMAN STREET, CINCINNATI, OH",39.134164346938796,-84.5470641428572,POINT (-84.5470641428572 39.1341643469388),,,
56,20294600.0,5133527621,NORTHSIDE HEALTH CENTER CINCINNATI HEALTH DEPARTMENT,3917 SPRING GROVE AVENUE,CINCINNATI,OH,45223,Hamilton,"3917 SPRING GROVE AVENUE, CINCINNATI, OH",39.1360824,-84.538888,POINT (-84.538888 39.1360824),,,
57,21623350.0,(513) 579-0900,PHARMACY OVER THE RHINE,5 EAST LIBERTY STREET,CINCINNATI,OH,45202,Hamilton,"5 EAST LIBERTY STREET, CINCINNATI, OH",39.11279333333329,-84.5157,POINT (-84.5157 39.11279333333329),,,
58,20264100.0,(513) 807-2964,PRICE HILL HEALTH CENTER,2136 W. 8TH STREET CINCINNATI HEALTH DEPT.,CINCINNATI,OH,45204,Hamilton,"2136 W. 8TH STREET CINCINNATI HEALTH DEPT., CINCINNATI, OH",39.1052854615385,-84.5521620576923,POINT (-84.5521620576923 39.1052854615385),,,
59,21334100.0,(479) 204-2258,SAM'S PHARMACY 10-6450,5375 NORTH BEND ROAD,CINCINNATI,OH,45247,Hamilton,"5375 NORTH BEND ROAD, CINCINNATI, OH",39.203649,-84.56188,POINT (-84.56188 39.203649),,,
60,20550900.0,(513) 541-0354,SCHAEPER'S NORTHSIDE PHARMACY,4187 HAMILTON AVENUE,CINCINNATI,OH,45223,Hamilton,"4187 HAMILTON AVENUE, CINCINNATI, OH",39.16320770000001,-84.5401532,POINT (-84.54015320000001 39.16320770000001),,,
61,20986450.0,(513) 585-3902,THE CHRIST HOSPITAL APOTHECARY,2139 AUBURN AVE. SUITE 1005,CINCINNATI,OH,45219,Hamilton,"2139 AUBURN AVE. SUITE 1005, CINCINNATI, OH",39.12083875,-84.51111281517441,POINT (-84.51111281517441 39.12083875),,,
62,21047300.0,(513) 686-5060,THE JEWISH HOSPITAL,4777 E. GALBRAITH ROAD,CINCINNATI,OH,45236,Hamilton,"4777 E. GALBRAITH ROAD, CINCINNATI, OH",39.212325899999996,-84.4709307,POINT (-84.4709307 39.2123259),,,
63,20145300.0,(877) 403-4229,TRIHEALTH PHARMACY SOLUTIONS,4623 Wesley Ave Ste N,Cincinnati,OH,45212-2272,Hamilton,"4623 Wesley Ave Ste N, Cincinnati, OH",39.10579370000001,-84.5246879,POINT (-84.5246879 39.10579370000001),,,
64,20994650.0,(440) 935-3959,UC - MEDICAL CENTER - HOLMES DIVISION PHARMACY,"EDEN & ALBERT SABIN WAY, ML #443",CINCINNATI,OH,45219,Hamilton,"EDEN & ALBERT SABIN WAY, ML #443, CINCINNATI, OH",39.14031985,-84.5047431453919,POINT (-84.5047431453919 39.14031985),,,
65,21450350.0,(513) 584-8807,UC - MEDICAL CENTER - HOXWORTH PHARMACY,"3130 HIGHLAND AVE., RM G200",CINCINNATI,OH,45219,Hamilton,"3130 HIGHLAND AVE., RM G200, CINCINNATI, OH",39.1670490559603,-84.42987426221009,POINT (-84.42987426221009 39.1670490559603),,,
66,20988250.0,(513) 584-8802,UNIV OF CINCINNATI MEDICAL CENTER - IN-PATIENT PHARMACY,"234 GOODMAN ST., ML 0740",CINCINNATI,OH,45219,Hamilton,"234 GOODMAN ST., ML 0740, CINCINNATI, OH",39.1379036,-84.50339364064979,POINT (-84.50339364064979 39.1379036),,,
67,20640750.0,(479) 204-2258,WAL-MART PHARMACY 10-1521,8451 COLERAIN AVENUE,CINCINNATI,OH,45251,Hamilton,"8451 COLERAIN AVENUE, CINCINNATI, OH",39.166880600000006,-84.55355390000001,POINT (-84.55355390000001 39.16688060000001),,,
68,20811550.0,(479) 204-2258,WAL-MART PHARMACY 10-2250,4000 REDBANK RD.,CINCINNATI,OH,45227,Hamilton,"4000 REDBANK RD., CINCINNATI, OH",39.1492202,-84.4022832,POINT (-84.4022832 39.1492202),,,
69,20966600.0,(479) 204-2258,WAL-MART PHARMACY 10-2447,2322 FERGUSON ROAD,CINCINNATI,OH,45238,Hamilton,"2322 FERGUSON ROAD, CINCINNATI, OH",39.12822070000001,-84.5971789528678,POINT (-84.59717895286779 39.12822070000001),,,
70,21816750.0,(479) 204-2258,WAL-MART PHARMACY 10-4609,10240 COLERAIN AVENUE,CINCINNATI,OH,45251,Hamilton,"10240 COLERAIN AVENUE, CINCINNATI, OH",39.166880600000006,-84.55355390000001,POINT (-84.55355390000001 39.16688060000001),,,
71,20132900.0,(847) 527-4251,WALGREENS #00274,3822 PAXTON AVE,CINCINNATI,OH,45209,Hamilton,"3822 PAXTON AVE, CINCINNATI, OH",39.1456194169964,-84.4306499660038,POINT (-84.4306499660038 39.1456194169964),,,
72,20497500.0,8475274251,WALGREENS #01502,6204 MONTGOMERY,CINCINNATI,OH,45213,Hamilton,"6204 MONTGOMERY, CINCINNATI, OH",39.1836120943783,-84.42433403718559,POINT (-84.42433403718559 39.1836120943783),,,
73,20186050.0,(847) 527-4251,WALGREENS #02136,4090 E GALBRAITH ROAD,DEER PARK,OH,45236,Hamilton,"4090 E GALBRAITH ROAD, DEER PARK, OH",39.208565232859,-84.3994490271674,POINT (-84.39944902716741 39.208565232859),,,
74,20126900.0,8475274251,WALGREENS #03807,5508 BRIDGETOWN ROAD,CINCINNATI,OH,45248,Hamilton,"5508 BRIDGETOWN ROAD, CINCINNATI, OH",39.158390326441996,-84.63259307898959,POINT (-84.63259307898959 39.158390326442),,,
75,20961000.0,(847) 527-4251,WALGREENS #03864,719 OHIO PIKE,CINCINNATI,OH,45245,Hamilton,"719 OHIO PIKE, CINCINNATI, OH",39.1210659,-84.41856329999999,POINT (-84.41856329999999 39.1210659),,,
76,20090650.0,(847) 527-4251,WALGREENS #04245,5403 N. BEND ROAD,CINCINNATI,OH,45247,Hamilton,"5403 N. BEND ROAD, CINCINNATI, OH",39.203649,-84.56188,POINT (-84.56188 39.203649),,,
77,21014700.0,(513) 347-3359,WALGREENS #04246,2320 BOUDINOT AVENUE,CINCINNATI,OH,452383417,Hamilton,"2320 BOUDINOT AVENUE, CINCINNATI, OH",39.129327532392296,-84.6052695146078,POINT (-84.6052695146078 39.1293275323923),,,
78,20125300.0,(847) 527-4251,WALGREENS #04522,9775 COLERAIN AVENUE,CINCINNATI,OH,45251,Hamilton,"9775 COLERAIN AVENUE, CINCINNATI, OH",39.166880600000006,-84.55355390000001,POINT (-84.55355390000001 39.16688060000001),,,
79,20338700.0,8475274251,WALGREENS #05632,9 WEST MITCHELL AVENUE,CINCINNATI,OH,452171525,Hamilton,"9 WEST MITCHELL AVENUE, CINCINNATI, OH",39.161678,-84.50725899999999,POINT (-84.50725899999999 39.161678),,,
80,20169250.0,(847) 527-4251,WALGREENS #05716,1776 SEYMOUR,CINCINNATI,OH,45237,Hamilton,"1776 SEYMOUR, CINCINNATI, OH",39.1898176735698,-84.463984724391,POINT (-84.463984724391 39.1898176735698),,,
81,21340750.0,8475274251,WALGREENS #06787,3084 W. GALBRAITH ROAD,CINCINNATI,OH,45239-4282,Hamilton,"3084 W. GALBRAITH ROAD, CINCINNATI, OH",39.2132492,-84.4767671,POINT (-84.4767671 39.2132492),,,
82,21355900.0,(513) 931-4707,WALGREENS #07045,7864 HAMILTON AVENUE,MOUNT HEALTHY,OH,452313160,Hamilton,"7864 HAMILTON AVENUE, MOUNT HEALTHY, OH",39.2364128294295,-84.5479625842872,POINT (-84.54796258428721 39.2364128294295),,,
83,21402800.0,(847) 527-4251,WALGREENS #07053,601 RACE STREET,CINCINNATI,OH,452022322,Hamilton,"601 RACE STREET, CINCINNATI, OH",39.1029319897959,-84.51501421428571,POINT (-84.51501421428571 39.1029319897959),,,
84,20529900.0,(847) 527-4251,WALGREENS #07181,4241 GLENWAY AVENUE,CINCINNATI,OH,45205,Hamilton,"4241 GLENWAY AVENUE, CINCINNATI, OH",39.114297363636396,-84.58324288636359,POINT (-84.58324288636359 39.1142973636364),,,
85,20461650.0,(847) 527-4251,WALGREENS #07182,3186 HARRISON AVENUE,CINCINNATI,OH,452115641,Hamilton,"3186 HARRISON AVENUE, CINCINNATI, OH",39.153306,-84.602519,POINT (-84.602519 39.153306),,,
86,20468100.0,(847) 527-4251,WALGREENS #07435,4605 MONTGOMERY RD,NORWOOD,OH,452122607,Hamilton,"4605 MONTGOMERY RD, NORWOOD, OH",39.170096,-84.44869200000001,POINT (-84.44869200000001 39.170096),,,
87,20493450.0,(847) 527-4251,WALGREENS #07877,7398 WOOSTER PIKE,CINCINNATI,OH,452273834,Hamilton,"7398 WOOSTER PIKE, CINCINNATI, OH",39.11952,-84.41348590000001,POINT (-84.41348590000001 39.11952),,,
88,21413800.0,(847) 527-4251,WALGREENS #07900,2203 BEECHMONT AVE,CINCINNATI,OH,45230-1518,Hamilton,"2203 BEECHMONT AVE, CINCINNATI, OH",39.0955617959184,-84.38706076530609,POINT (-84.38706076530609 39.0955617959184),,,
89,20085700.0,(847) 527-4251,WALGREENS #09775,406 MAIN STREET,CINCINNATI,OH,45202-0001,Hamilton,"406 MAIN STREET, CINCINNATI, OH",39.1006212653061,-84.5093970816327,POINT (-84.5093970816327 39.1006212653061),,,
90,20527200.0,(847) 527-4251,WALGREENS #10493,398 ANDERSON FERRY ROAD,CINCINNATI,OH,45238-5695,Hamilton,"398 ANDERSON FERRY ROAD, CINCINNATI, OH",39.091885999999995,-84.618317,POINT (-84.618317 39.091886),,,
91,20789400.0,8475274251,WALGREENS #11269,8210 WINTON ROAD,CINCINNATI,OH,452315903,Hamilton,"8210 WINTON ROAD, CINCINNATI, OH",39.17960720000001,-84.5197474,POINT (-84.5197474 39.17960720000001),,,
92,20112900.0,(847) 527-4251,WALGREENS #11630,6918 HAMILTON AVE,CINCINNATI,OH,45231,Hamilton,"6918 HAMILTON AVE, CINCINNATI, OH",39.16393529999999,-84.5402503,POINT (-84.5402503 39.16393529999999),,,
93,20106100.0,(847) 527-4251,WALGREENS #12830,3 W. CORRY STREET,CINCINNATI,OH,45219,Hamilton,"3 W. CORRY STREET, CINCINNATI, OH",39.1291941666667,-84.5098115,POINT (-84.5098115 39.1291941666667),,,
94,20592250.0,(847) 527-4251,WALGREENS #12831,7135 BEECHMONT AVE.,CINCINNATI,OH,45230,Hamilton,"7135 BEECHMONT AVE., CINCINNATI, OH",39.0737951961504,-84.3624587942255,POINT (-84.3624587942255 39.0737951961504),,,
95,21074700.0,(847) 527-4251,WALGREENS #4731,6901 MIAMI AVENUE,MADEIRA,OH,45243,Hamilton,"6901 MIAMI AVENUE, MADEIRA, OH",39.188187744898,-84.3632058673469,POINT (-84.36320586734691 39.188187744898),,,
96,,,,,,,,,1601 MONMOUTH ST,39.084054038432704,-84.484237415156,POINT (-84.484237415156 39.0840540384327),0.0,Walgreens,NEWPORT
97,,,,,,,,,160 PAVILION PKWY,39.088085,-84.47789300000001,POINT (-84.47789300000001 39.088085),1.0,CVS Pharmacy,NEWPORT
98,,,,,,,,,1220 MADISON AVE,39.07739391836729,-84.5084347346939,POINT (-84.50843473469391 39.07739391836729),2.0,Walgreens,COVINGTON
99,,,,,,,,,2001 MADISON AVE.,39.0664765,-84.50645475,POINT (-84.50645475 39.0664765),3.0,CVS Pharmacy,COVINGTON
100,,,,,,,,,606 BUTTERMILK PIKE,39.052425158496,-84.5777814377942,POINT (-84.5777814377942 39.052425158496),4.0,Walgreens,CRESCENT SPRINGS
101,,,,,,,,,2840 ALEXANDRIA PIKE,39.053521999999994,-84.4487,POINT (-84.4487 39.05352199999999),5.0,Walgreens,HIGHLAND HEIGHTS
